1,Member1,男,58,2020-09-19 15:17:50,38867024489,Bronze
2,Member2,女,48,2022-01-22 10:30:18,72888219624,Gold
3,Member3,男,22,2022-10-01 22:15:57,87516370595,Platinum
4,Member4,男,45,2024-12-25 07:29:29,48862367739,Bronze
5,Member5,女,55,2022-07-28 23:37:01,40733290309,Bronze
6,Member6,女,58,2022-09-28 15:29:39,52525501402,Platinum
7,Member7,男,22,2021-06-21 18:08:51,35612154435,Silver
8,Member8,女,41,2022-02-19 16:33:35,12182320466,Gold
9,Member9,女,19,2024-04-30 14:18:35,85063641107,Silver
10,Member10,男,55,2023-07-21 05:58:47,67747331176,Platinum
11,Member11,男,36,2022-02-11 01:24:22,89889044003,Bronze
12,Member12,女,38,2022-10-06 11:17:14,41946515993,Bronze
13,Member13,女,52,2024-02-10 11:37:36,14192644566,Bronze
14,Member14,男,51,2022-06-21 21:30:20,44666081608,Platinum
15,Member15,男,29,2024-09-19 02:37:15,58248517906,Platinum
16,Member16,男,56,2020-02-28 12:19:56,88538320579,Platinum
17,Member17,女,31,2023-10-30 16:54:51,34797373460,Gold
18,Member18,女,59,2020-05-25 09:24:01,45311589201,Platinum
19,Member19,女,53,2021-06-13 18:54:25,19403547961,Platinum
20,Member20,女,57,2020-09-16 06:08:57,61013563533,Bronze
21,Member21,女,33,2022-09-22 02:40:01,65826696309,Platinum
22,Member22,男,26,2020-08-04 13:22:31,46449577745,Bronze
23,Member23,女,39,2020-05-23 03:02:15,62489770125,Gold
24,Member24,女,28,2022-06-22 20:05:39,25994835509,Gold
25,Member25,女,47,2023-09-21 20:58:14,77724702636,Silver
26,Member26,男,48,2021-10-14 00:21:01,54075495178,Platinum
27,Member27,男,36,2021-11-02 08:16:30,47820997514,Bronze
28,Member28,女,31,2020-04-16 04:51:13,79959782609,Bronze
29,Member29,女,21,2020-12-06 03:04:08,11236392179,Silver
30,Member30,女,33,2023-07-22 05:37:48,93033385880,Silver
31,Member31,女,37,2021-01-27 21:44:21,42216213782,Silver
32,Member32,男,37,2021-01-20 23:48:05,69934063270,Silver
33,Member33,女,29,2020-01-13 17:42:08,19294008189,Silver
34,Member34,男,57,2020-08-06 03:54:23,44672745070,Bronze
35,Member35,男,23,2020-05-07 01:47:07,34347089720,Gold
36,Member36,女,39,2023-05-04 02:18:16,29036809847,Gold
37,Member37,男,54,2023-03-12 18:08:26,62444642837,Platinum
38,Member38,男,58,2020-11-08 20:13:20,81945780220,Gold
39,Member39,男,44,2020-09-02 16:41:30,97173760265,Silver
40,Member40,男,28,2020-07-21 20:05:21,99908259327,Platinum
41,Member41,男,40,2020-10-22 22:12:45,69061016115,Platinum
42,Member42,男,20,2020-11-06 23:08:28,56808063801,Silver
43,Member43,女,52,2021-08-23 07:45:30,74763485212,Silver
44,Member44,女,20,2024-11-13 11:59:20,50962115979,Bronze
45,Member45,男,45,2024-12-13 16:57:13,20949552850,Platinum
46,Member46,男,51,2021-12-24 01:09:32,31483502306,Silver
47,Member47,女,43,2023-08-13 00:17:41,69473520203,Bronze
48,Member48,男,58,2020-05-24 12:05:21,33140056809,Silver
49,Member49,男,24,2020-10-22 09:11:32,24949456774,Platinum
50,Member50,男,58,2021-05-04 08:26:22,13951921023,Silver
51,Member51,女,45,2021-02-20 04:19:15,29634715030,Platinum
52,Member52,女,52,2025-01-26 03:16:39,40467716794,Bronze
53,Member53,男,32,2024-01-29 19:42:32,49322373284,Bronze
